908823	و	
623395	در	
557877	به	
442306	از	
335056	که	
310290	این	
288337	می	
280512	را	
252192	با	
241347	است	
205207	های	
111453	برای	
97702	ها	
93610	آن	
86468	کرد	
84946	یک	
81036	شد	
78872	خود	
77131	شود	
74827	شده	
72674	گفت	
69355	ای	
66549	ایران	
64211	کشور	
57179	وی	
56624	بر	
55675	بود	
54108	تا	
52447	سال	
51159	کند	
49711	هم	
49404	مردم	
48153	نیز	
47770	ما	
39932	اسلامی	
38704	کنند	
38514	کرده	
36375	باید	
34153	اند	
33419	دولت	
33396	رئیس	
32764	دارد	
31853	مجلس	
31821	آمریکا	
31781	تهران	
31737	نمی	
31579	خواهد	
31045	دیگر	
31022	گزارش	
30671	افزود	
30550	دو	
30550	آنها	
29855	تیم	
29702	اعلام	
29495	سازمان	
29188	باشد	
28967	صفحه	
28896	قرار	
28323	کار	
28099	او	
27805	یا	
27624	روز	
27560	اما	
27415	شرکت	
26571	عنوان	
26318	استان	
26225	بین	
25779	هر	
25678	طرح	
25514	برنامه	
25402	مورد	
24788	دست	
24325	پس	
23948	همه	
23882	داد	
23251	ملی	
23149	راه	
23058	اگر	
22813	کردند	
22408	عراق	
22287	کیهان	
22248	شورای	
22104	شهر	
21803	بی	
21656	جمهوری	
21274	من	
21271	صورت	
21227	حضور	
20980	داشت	
20793	پیش	
20336	یکی	
19769	نیست	
19587	وجود	
18931	هزار	
18913	هستند	
18779	انجام	
18637	بخش	
18553	چه	
18419	منطقه	
18307	گذشته	
18267	خبر	
18005	اینکه	
17914	روزنامه	
17524	سیاسی	
17505	همچنین	
17446	انتخابات	
17076	جامعه	
16996	اقتصادی	
16951	حال	
16785	اشاره	
16694	خبرنگار	
16682	نظر	
16565	برگزار	
16278	وزیر	
16262	دهد	
16225	افزایش	
16183	هیچ	
16048	سه	
15965	امام	
15841	انقلاب	
15719	داشته	
15621	داده	
15605	ادامه	
15553	درباره	
15466	فرهنگی	
15337	وزارت	
15071	شدند	
15038	همین	
14983	ماه	
14858	توجه	
14782	بوده	
14701	عمومی	
14481	نفر	
14313	سوی	
14204	برخی	
14046	جهان	
14043	گروه	
14035	دانشگاه	
13966	استفاده	
13883	دارند	
13825	پایان	
13624	تولید	
13531	میلیون	
13504	ولی	
13482	گرفته	
13458	کنیم	
13435	هایی	
13359	توسعه	
13337	فعالیت	
13336	اول	
13241	آغاز	
13118	اجتماعی	
13064	درصد	
13040	نظام	
12989	آینده	
12967	جدید	
12919	آنان	
12883	بیش	
12800	ایجاد	
12725	دوم	
12673	شدن	
12605	المللی	
12602	هسته	
12574	زمینه	
12565	نه	
12502	چند	
12298	امروز	
12157	فیلم	
12056	قانون	
12046	میان	
12014	مسئولان	
11980	شهرستان	
11974	آموزش	
11972	دکتر	
11969	شوند	
11965	شما	
11944	روی	
11843	طی	
11826	براساس	
11759	بودند	
11755	امور	
11740	کردن	
11722	کشورهای	
11682	بعد	
11636	آمریکایی	
11627	دوره	
11605	نام	
11582	جمهور	
11572	توسط	
11527	ویژه	
11467	دیدار	
11433	جهانی	
11418	نسبت	
11217	زمان	
11120	الله	
11106	تنها	
11082	بیشتر	
11070	آب	
11051	دیروز	
11045	خارجی	
10843	بهره	
10755	گرفت	
10748	چنین	
10703	گفته	
10697	مسابقات	
10696	بزرگ	
10694	بسیار	
10686	سیاست	
10653	علی	
10641	بررسی	
10602	افراد	
10595	بیان	
10582	مختلف	
10466	دستگاه	
10454	ملت	
10440	تلاش	
10403	نماینده	
10382	قیمت	
10346	ندارد	
10336	نامه	
10316	اظهار	
10294	نیروهای	
10259	عمل	
10251	روابط	
10232	تمام	
10137	زندگی	
10129	دانش	
10117	ریاست	
10110	توان	
